API-function: torch-tensors
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | empty_strided | Creates a tensor with the specified size and stride and filled with undefined data. | 0.4607892632484436
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | linspace | Creates a one-dimensional tensor of size steps whose values are evenly spaced from start to end, inclusive. | 0.45436733961105347
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | logspace | Creates a one-dimensional tensor of size steps whose values are evenly spaced from basestart{{\text{{base}}}}^{{\text{{start}}}}basestart to baseend{{\text{{base}}}}^{{\text{{end}}}}baseend, inclusive, on a logarithmic scale with base base. | 0.45129069685935974
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | range | Returns a 1-D tensor of size ⌊end−startstep⌋+1\left\lfloor \frac{\text{end} - \text{start}}{\text{step}} \right\rfloor + 1⌊stepend−start​⌋+1 with values from start to end with step step. | 0.4481526017189026
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | asarray | Converts obj to a tensor. | 0.44406411051750183
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | quantize_per_channel | Converts a float tensor to a per-channel quantized tensor with given scales and zero points. | 0.4436852037906647
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | as_strided | Create a view of an existing torch.Tensor input with specified size, stride and storage_offset. | 0.38792186975479126
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | complex | Constructs a complex tensor with its real part equal to real and its imaginary part equal to imag. | 0.3628683388233185
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | polar | Constructs a complex tensor whose elements are Cartesian coordinates corresponding to the polar coordinates with absolute value abs and angle angle. | 0.3615582585334778
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | frombuffer | Creates a 1-dimensional Tensor from an object that implements the Python buffer protocol. | 0.3508007526397705
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | from_dlpack | Converts a tensor from an external library into a torch.Tensor. | 0.34521251916885376
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | 0.23383964598178864
sparse_coo_tensor | Constructs a sparse tensor in COO(rdinate) format with specified values at the given indices. | heaviside | Computes the Heaviside step function for each element in input. | 0.11835639178752899
asarray | Converts obj to a tensor. | from_numpy | Creates a Tensor from a numpy.ndarray. | 0.6461277008056641
asarray | Converts obj to a tensor. | from_dlpack | Converts a tensor from an external library into a torch.Tensor. | 0.5874406099319458
asarray | Converts obj to a tensor. | quantize_per_tensor | Converts a float tensor to a quantized tensor with given scale and zero point. | 0.5186634659767151
asarray | Converts obj to a tensor. | quantize_per_channel | Converts a float tensor to a per-channel quantized tensor with given scales and zero points. | 0.5010802745819092
asarray | Converts obj to a tensor. | eye | Returns a 2-D tensor with ones on the diagonal and zeros elsewhere. | 0.48189792037010193
asarray | Converts obj to a tensor. | as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | 0.4713941514492035
asarray | Converts obj to a tensor. | zeros_like | Returns a tensor filled with the scalar value 0, with the same size as input. | 0.4610934853553772
asarray | Converts obj to a tensor. | ones_like | Returns a tensor filled with the scalar value 1, with the same size as input. | 0.4610934853553772
asarray | Converts obj to a tensor. | empty | Returns a tensor filled with uninitialized data. | 0.4514961838722229
asarray | Converts obj to a tensor. | full_like | Returns a tensor with the same size as input filled with fill_value. | 0.45076751708984375
asarray | Converts obj to a tensor. | empty_like | Returns an uninitialized tensor with the same size as input. | 0.4435860514640808
asarray | Converts obj to a tensor. | dequantize | Returns an fp32 Tensor by dequantizing a quantized Tensor | 0.4293504059314728
asarray | Converts obj to a tensor. | full | Creates a tensor of size size filled with fill_value. | 0.42766857147216797
asarray | Converts obj to a tensor. | empty_strided | Creates a tensor with the specified size and stride and filled with undefined data. | 0.42254242300987244
asarray | Converts obj to a tensor. | ones | Returns a tensor filled with the scalar value 1, with the shape defined by the variable argument size. | 0.41569551825523376
asarray | Converts obj to a tensor. | zeros | Returns a tensor filled with the scalar value 0, with the shape defined by the variable argument size. | 0.41569551825523376
asarray | Converts obj to a tensor. | frombuffer | Creates a 1-dimensional Tensor from an object that implements the Python buffer protocol. | 0.4077646732330322
asarray | Converts obj to a tensor. | polar | Constructs a complex tensor whose elements are Cartesian coordinates corresponding to the polar coordinates with absolute value abs and angle angle. | 0.39593684673309326
asarray | Converts obj to a tensor. | range | Returns a 1-D tensor of size ⌊end−startstep⌋+1\left\lfloor \frac{\text{end} - \text{start}}{\text{step}} \right\rfloor + 1⌊stepend−start​⌋+1 with values from start to end with step step. | 0.393022358417511
asarray | Converts obj to a tensor. | arange | Returns a 1-D tensor of size ⌈end−startstep⌉\left\lceil \frac{\text{end} - \text{start}}{\text{step}} \right\rceil⌈stepend−start​⌉ with values from the interval [start, end) taken with common difference step beginning from start. | 0.38163110613822937
asarray | Converts obj to a tensor. | complex | Constructs a complex tensor with its real part equal to real and its imaginary part equal to imag. | 0.34086352586746216
asarray | Converts obj to a tensor. | logspace | Creates a one-dimensional tensor of size steps whose values are evenly spaced from basestart{{\text{{base}}}}^{{\text{{start}}}}basestart to baseend{{\text{{base}}}}^{{\text{{end}}}}baseend, inclusive, on a logarithmic scale with base base. | 0.32912111282348633
asarray | Converts obj to a tensor. | linspace | Creates a one-dimensional tensor of size steps whose values are evenly spaced from start to end, inclusive. | 0.3273252844810486
asarray | Converts obj to a tensor. | as_strided | Create a view of an existing torch.Tensor input with specified size, stride and storage_offset. | 0.3072853684425354
asarray | Converts obj to a tensor. | heaviside | Computes the Heaviside step function for each element in input. | 0.07775528728961945
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | empty | Returns a tensor filled with uninitialized data. | 0.5385274887084961
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | empty_strided | Creates a tensor with the specified size and stride and filled with undefined data. | 0.4285048842430115
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | from_dlpack | Converts a tensor from an external library into a torch.Tensor. | 0.3643110394477844
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | from_numpy | Creates a Tensor from a numpy.ndarray. | 0.3453429043292999
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | dequantize | Returns an fp32 Tensor by dequantizing a quantized Tensor | 0.34281039237976074
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | quantize_per_tensor | Converts a float tensor to a quantized tensor with given scale and zero point. | 0.33573246002197266
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | empty_like | Returns an uninitialized tensor with the same size as input. | 0.3172093629837036
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | quantize_per_channel | Converts a float tensor to a per-channel quantized tensor with given scales and zero points. | 0.2996836304664612
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | full | Creates a tensor of size size filled with fill_value. | 0.28992268443107605
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | arange | Returns a 1-D tensor of size ⌈end−startstep⌉\left\lceil \frac{\text{end} - \text{start}}{\text{step}} \right\rceil⌈stepend−start​⌉ with values from the interval [start, end) taken with common difference step beginning from start. | 0.28227120637893677
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | complex | Constructs a complex tensor with its real part equal to real and its imaginary part equal to imag. | 0.2718784213066101
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | full_like | Returns a tensor with the same size as input filled with fill_value. | 0.27004650235176086
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | zeros_like | Returns a tensor filled with the scalar value 0, with the same size as input. | 0.2605711817741394
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | ones_like | Returns a tensor filled with the scalar value 1, with the same size as input. | 0.2605711817741394
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | frombuffer | Creates a 1-dimensional Tensor from an object that implements the Python buffer protocol. | 0.2578982412815094
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | eye | Returns a 2-D tensor with ones on the diagonal and zeros elsewhere. | 0.24511149525642395
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | polar | Constructs a complex tensor whose elements are Cartesian coordinates corresponding to the polar coordinates with absolute value abs and angle angle. | 0.23134219646453857
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | range | Returns a 1-D tensor of size ⌊end−startstep⌋+1\left\lfloor \frac{\text{end} - \text{start}}{\text{step}} \right\rfloor + 1⌊stepend−start​⌋+1 with values from start to end with step step. | 0.22909119725227356
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | linspace | Creates a one-dimensional tensor of size steps whose values are evenly spaced from start to end, inclusive. | 0.22389578819274902
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | zeros | Returns a tensor filled with the scalar value 0, with the shape defined by the variable argument size. | 0.21299205720424652
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | ones | Returns a tensor filled with the scalar value 1, with the shape defined by the variable argument size. | 0.21299205720424652
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | logspace | Creates a one-dimensional tensor of size steps whose values are evenly spaced from basestart{{\text{{base}}}}^{{\text{{start}}}}basestart to baseend{{\text{{base}}}}^{{\text{{end}}}}baseend, inclusive, on a logarithmic scale with base base. | 0.19746610522270203
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | as_strided | Create a view of an existing torch.Tensor input with specified size, stride and storage_offset. | 0.15837809443473816
as_tensor | Converts data into a tensor, sharing data and preserving autograd history if possible. | heaviside | Computes the Heaviside step function for each element in input. | 0.043896302580833435
as_strided | Create a view of an existing torch.Tensor input with specified size, stride and storage_offset. | empty_strided | Creates a tensor with the specified size and stride and filled with undefined data. | 0.5983946323394775
as_strided | Create a view of an existing torch.Tensor input with specified size, stride and storage_offset. | from_dlpack | Converts a tensor from an external library into a torch.Tensor. | 0.5542768239974976
as_strided | Create a view of an existing torch.Tensor input with specified size, stride and storage_offset. | full | Creates a tensor of size size filled with fill_value. | 0.5454198718070984
as_strided | Create a view of an existing torch.Tensor input with specified size, stride and storage_offset. | full_like | Returns a tensor with the same size as input filled with fill_value. | 0.530978798866272
as_strided | Create a view of an existing torch.Tensor input with specified size, stride and storage_offset. | empty_like | Returns an uninitialized tensor with the same size as input. | 0.523008406162262
