API-function: torch-tensors
dsplit | unbind | 0.5
dsplit | unsqueeze | 0.5
dsplit | vsplit | 1.0
dsplit | vstack | 0.0
dsplit | where | 0.0
column_stack | dstack | 1.0
column_stack | gather | 0.2
column_stack | hsplit | 0.0
column_stack | hstack | 1.0
column_stack | index_select | 0.25
column_stack | masked_select | 0.3333333333333333
column_stack | movedim | 0.0
column_stack | narrow | 0.0
column_stack | nonzero | 0.0
column_stack | permute | 0.0
column_stack | reshape | 0.0
column_stack | select | 0.0
column_stack | diagonal_scatter | 0.0
column_stack | select_scatter | 0.0
column_stack | slice_scatter | 0.0
column_stack | split | 0.0
column_stack | squeeze | 0.0
column_stack | stack | 0.6666666666666666
column_stack | t | 0.0
column_stack | take | 0.0
column_stack | take_along_dim | 0.25
column_stack | tensor_split | 0.0
column_stack | tile | 0.0
column_stack | transpose | 0.0
column_stack | unbind | 0.0
column_stack | unsqueeze | 0.0
column_stack | vsplit | 0.0
column_stack | vstack | 1.0
column_stack | where | 0.0
dstack | gather | 0.2
dstack | hsplit | 0.0
dstack | hstack | 1.0
dstack | index_select | 0.25
dstack | masked_select | 0.3333333333333333
dstack | movedim | 0.0
dstack | narrow | 0.0
dstack | nonzero | 0.0
dstack | permute | 0.0
dstack | reshape | 0.0
dstack | select | 0.0
dstack | diagonal_scatter | 0.0
dstack | select_scatter | 0.0
dstack | slice_scatter | 0.0
dstack | split | 0.0
dstack | squeeze | 0.0
dstack | stack | 0.6666666666666666
dstack | t | 0.0
dstack | take | 0.0
dstack | take_along_dim | 0.25
dstack | tensor_split | 0.0
dstack | tile | 0.0
dstack | transpose | 0.0
dstack | unbind | 0.0
dstack | unsqueeze | 0.0
dstack | vsplit | 0.0
dstack | vstack | 1.0
dstack | where | 0.0
gather | hsplit | 0.5
gather | hstack | 0.5
gather | index_select | 0.75
gather | masked_select | 0.6666666666666666
gather | movedim | 0.3333333333333333
gather | narrow | 0.5
gather | nonzero | 0.5
gather | permute | 0.5
gather | reshape | 0.5
gather | select | 0.6666666666666666
gather | diagonal_scatter | 0.2
gather | select_scatter | 0.25
gather | slice_scatter | 0.3333333333333333
gather | split | 0.0
gather | squeeze | 0.5
gather | stack | 0.6666666666666666
gather | t | 1.0
gather | take | 1.0
gather | take_along_dim | 0.5
gather | tensor_split | 0.3333333333333333
gather | tile | 0.5
gather | transpose | 0.3333333333333333
gather | unbind | 1.0
gather | unsqueeze | 1.0
gather | vsplit | 0.5
gather | vstack | 0.5
gather | where | 0.0
hsplit | hstack | 0.0
hsplit | index_select | 0.25
hsplit | masked_select | 0.3333333333333333
hsplit | movedim | 0.3333333333333333
hsplit | narrow | 0.25
hsplit | nonzero | 0.5
hsplit | permute | 0.5
hsplit | reshape | 0.5
hsplit | select | 0.3333333333333333
hsplit | diagonal_scatter | 0.2
hsplit | select_scatter | 0.25
hsplit | slice_scatter | 0.16666666666666666
hsplit | split | 0.0
hsplit | squeeze | 0.5
hsplit | stack | 0.0
hsplit | t | 1.0
hsplit | take | 0.5
hsplit | take_along_dim | 0.25
hsplit | tensor_split | 0.3333333333333333
hsplit | tile | 0.5
hsplit | transpose | 0.3333333333333333
hsplit | unbind | 0.5
hsplit | unsqueeze | 0.5
hsplit | vsplit | 1.0
hsplit | vstack | 0.0
hsplit | where | 0.0
hstack | index_select | 0.25
hstack | masked_select | 0.3333333333333333
hstack | movedim | 0.0
hstack | narrow | 0.0
hstack | nonzero | 0.0
hstack | permute | 0.0
hstack | reshape | 0.0
hstack | select | 0.0
hstack | diagonal_scatter | 0.0
hstack | select_scatter | 0.0
hstack | slice_scatter | 0.0
hstack | split | 0.0
hstack | squeeze | 0.0
hstack | stack | 0.6666666666666666
hstack | t | 0.0
hstack | take | 0.0
hstack | take_along_dim | 0.25
hstack | tensor_split | 0.0
hstack | tile | 0.0
hstack | transpose | 0.0
hstack | unbind | 0.0
hstack | unsqueeze | 0.0
hstack | vsplit | 0.0
hstack | vstack | 1.0
hstack | where | 0.0
index_add | index_select | 0.0
index_add | masked_select | 0.0
index_add | movedim | 0.0
index_add | narrow | 0.0
index_add | nonzero | 0.0
index_add | permute | 0.0
index_add | reshape | 0.0
index_add | select | 0.0
index_add | diagonal_scatter | 0.0
index_add | select_scatter | 0.0
index_add | slice_scatter | 0.0
index_add | split | 0.0
index_add | squeeze | 0.0
index_add | stack | 0.0
index_add | t | 0.0
index_add | take | 0.0
index_add | take_along_dim | 0.0
index_add | tensor_split | 0.0
index_add | tile | 0.0
index_add | transpose | 0.0
index_add | unbind | 0.0
index_add | unsqueeze | 0.0
index_add | vsplit | 0.0
index_add | vstack | 0.0
index_add | where | 0.0
index_copy | index_select | 0.0
index_copy | masked_select | 0.0
index_copy | movedim | 0.0
index_copy | narrow | 0.0
index_copy | nonzero | 0.0
index_copy | permute | 0.0
index_copy | reshape | 0.0
index_copy | select | 0.0
index_copy | diagonal_scatter | 0.0
index_copy | select_scatter | 0.0
index_copy | slice_scatter | 0.0
index_copy | split | 0.0
index_copy | squeeze | 0.0
index_copy | stack | 0.0
index_copy | t | 0.0
index_copy | take | 0.0
index_copy | take_along_dim | 0.0
index_copy | tensor_split | 0.0
index_copy | tile | 0.0
index_copy | transpose | 0.0
index_copy | unbind | 0.0
index_copy | unsqueeze | 0.0
index_copy | vsplit | 0.0
index_copy | vstack | 0.0
index_copy | where | 0.0
index_reduce | index_select | 0.0
index_reduce | masked_select | 0.0
index_reduce | movedim | 0.0
index_reduce | narrow | 0.0
index_reduce | nonzero | 0.0
index_reduce | permute | 0.0
index_reduce | reshape | 0.0
index_reduce | select | 0.0
index_reduce | diagonal_scatter | 0.0
index_reduce | select_scatter | 0.0
index_reduce | slice_scatter | 0.0
index_reduce | split | 0.0
index_reduce | squeeze | 0.0
index_reduce | stack | 0.0
index_reduce | t | 0.0
index_reduce | take | 0.0
index_reduce | take_along_dim | 0.0
index_reduce | tensor_split | 0.0
index_reduce | tile | 0.0
index_reduce | transpose | 0.0
index_reduce | unbind | 0.0
index_reduce | unsqueeze | 0.0
index_reduce | vsplit | 0.0
index_reduce | vstack | 0.0
index_reduce | where | 0.0
index_select | masked_select | 0.6666666666666666
index_select | movedim | 0.3333333333333333
